19790102	15.263	13.593
19790104	15.31	13.669
19790106	15.344	13.73
19790108	15.347	13.787
19790110	15.533	13.901
19790112	15.648	14.043
19790114	15.756	14.059
19790116	15.835	14.047
19790118	15.836	14.141
19790120	15.991	14.332
19790122	16.05	14.446
19790124	16.122	14.572
19790126	16.036	14.57
19790128	16.028	14.442
19790130	16.162	14.499
19790201	16.125	14.464
19790203	16.034	14.406
19790205	16.054	14.564
19790207	16.092	14.299
19790209	16.334	14.779
19790211	16.486	14.674
19790213	16.616	15.042
19790215	16.73	15.116
19790217	16.757	15.052
19790219	16.646	14.785
19790221	16.596	14.686
19790223	16.692	14.687
19790225	16.848	14.763
19790227	16.881	14.834
19790301	16.815	14.875
19790303	16.775	14.813
19790305	16.839	14.841
19790307	16.861	14.955
19790309	16.774	14.878
19790311	16.632	14.827
19790313	16.616	14.727
19790315	16.631	14.792
19790317	16.771	15.153
19790319	16.846	15.101
19790321	16.676	14.909
19790323	16.66	14.891
19790325	16.614	14.866
19790327	16.463	14.744
19790329	16.247	14.573
19790331	16.219	14.42
19790402	15.98	14.274
19790404	16.039	14.318
19790406	16.008	14.399
19790408	16.202	14.495
19790410	16.102	14.34
19790412	15.945	14.243
19790414	15.802	14.141
19790416	15.772	14.061
19790418	15.778	14.023
19790420	15.711	13.997
19790422	15.606	13.995
19790424	15.61	13.945
19790426	15.521	13.926
19790428	15.507	13.794
19790430	15.259	13.484
19790502	14.898	13.271
19790504	14.796	13.15
19790506	14.671	13.024
19790508	14.602	12.99
19790510	14.442	12.801
19790512	14.267	12.648
19790514	14.125	12.585
19790516	14.078	12.537
19790518	13.9	12.401
19790520	13.824	12.311
19790528	13.536	11.635
19790530	13.511	11.508
19790601	13.431	11.449
19790603	13.244	11.284
19790605	13.242	11.267
19790607	13.148	11.08
19790609	13.1	10.974
19790611	13.011	10.804
19790613	12.882	10.57
19790615	12.698	10.553
19790617	12.745	10.432
19790619	12.721	10.08
19790621	12.549	9.866
19790623	12.361	9.643
19790625	12.282	9.366
19790627	12.354	9.207
19790629	12.358	9.193
19790701	12.096	8.993
19790703	11.858	8.783
19790705	11.645	8.378
19790707	11.461	8.192
19790709	11.264	8.146
19790711	11.183	8.076
19790713	11.01	7.954
19790715	10.797	7.804
19790717	10.574	7.614
19790719	10.45	7.63
19790721	10.379	7.631
19790723	10.175	7.625
19790725	10.206	7.585
19790727	10.156	7.428
19790729	9.898	7.248
19790731	9.767	7.085
19790802	9.475	6.961
19790804	9.359	6.929
19790806	9.168	6.781
19790808	8.988	6.784
19790810	8.756	6.7
19790812	8.638	6.612
19790814	8.523	6.365
19790816	8.441	6.144
19790818	8.21	5.967
19790820	8.139	5.935
19790822	8.091	5.895
19790824	7.934	5.929
19790826	7.834	5.799
19790828	7.81	5.864
19790830	7.699	5.925
19790901	7.771	6.224
19790903	7.644	6.195
19790905	7.634	6.197
19790907	7.568	6.179
19790909	7.676	6.28
19790911	7.563	6.253
19790913	7.574	6.327
19790915	7.539	6.362
19790917	7.523	6.36
19790919	7.457	6.238
19790921	7.436	6.246
19790923	7.478	6.255
19790925	7.494	6.482
19790927	7.457	6.523
19790929	7.513	6.627
19791001	7.82	6.808
19791003	7.884	6.885
19791005	8.094	6.973
19791007	8.248	7.137
19791009	8.343	7.236
19791011	8.489	7.339
19791013	8.652	7.506
19791015	8.867	7.644
19791017	9.321	8.03
19791019	9.417	8.105
19791021	9.504	8.188
19791023	9.784	8.455
19791025	10.001	8.667
19791027	10.069	8.764
19791029	10.031	8.756
19791031	10.161	8.937
19791102	10.483	9.154
19791104	10.476	9.204
19791106	10.528	9.194
19791108	10.648	9.29
19791110	10.708	9.386
19791112	10.94	9.684
19791114	11.148	9.966
19791116	11.281	10.142
19791118	11.305	10.191
19791120	11.472	10.246
19791122	11.624	10.383
19791124	11.789	10.591
19791126	11.902	10.753
19791128	12.152	11.001
19791130	12.301	11.142
19791202	12.682	11.291
19791204	12.816	11.44
19791206	13.142	11.724
19791208	13.291	11.779
19791210	13.457	11.984
19791212	13.604	12.114
19791214	13.628	12.204
19791216	13.624	12.165
19791218	13.69	12.266
19791220	13.804	12.268
19791222	13.924	12.263
19791224	13.997	12.314
19791226	14.362	12.725
19791228	14.494	12.933
19791230	14.541	13.062
19800101	14.611	13.087
19800103	14.628	13.11
19800111	15.056	13.237
